,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,314,322,7,11,0,0,15,1,2,0,22,0,1,0,0,0,1,0,0,0,0,0,0,4
2,246,11,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,201,6,4,0,0,8,1,3,0,14,0,0,0,1,0,0,0,0,0,0,0,3,1
9,33,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,6
