,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,42,20,74,1,30,0,2,5,0,0,1,0,0,0,0,4,17,0,3,0,0,0,0,13
2,382,4,31,1,31,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
3,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,43,197,1,130,0,1,26,3,3,4,0,2,0,0,1,17,0,6,0,0,0,1,10
9,7,2,30,0,16,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
